"DATETIME_UTC","LATITUDE","LONGITUDE","ALTITUDE","HEADING","SPEED","VISIBILTY_NM","BEAUFORT","CLOUD_CODE","GLARE_L","GLARE_R","QUALITY_L","QUALITY_R","EFFORT_COMMENTS","SIGHTING_NUMBER","SPCODE","GROUP_SIZE","CALVES","ACTUAL_HEADING","OBSERVER","OBS_POSITION","ANGLE","CUE","B1_FINAL_CODE","B2_FINAL_CODE","B3_FINAL_CODE","B4_FINAL_CODE","B5_FINAL_CODE","PHOTOS","SIGHTING_COMMENTS","EDIT1","EDIT2","EDIT3"
"2021-02-26 17:00:46","41.07632","-71.56696","",179.7,110.1,"35","2","1","2","2","e","e","on watch beg rwmr fi","","","","","","","","","","","","","","","","","","",""
"2021-02-26 17:19:26","40.52348","-71.56596","",179.7,106,"","2.3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 17:20:47","40.48375","-71.56590","",180.2,105.4,"","2.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 17:24:14","40.37827","-71.56625","",179.8,111.3,"","3.2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 17:25:06","40.35207","-71.56578","",179.9,110.1,"","3.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 17:26:41","40.31245","-71.54926","",96,100.5,"","2.5","","1","3","e","g","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 17:29:50","40.32397","-71.44894","",357.7,96.2,"","3","","1","1","e","e","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 17:38:13","40.56138","-71.45084","",359.5,100.7,"","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 17:45:27","40.77052","-71.45089","",0.2,104.3,"","","","","","","","","1","bp","1","","270","co","R","70","1","18","","","","","","","","",""
"2021-02-26 17:54:06","41.01995","-71.45084","",0.2,107.1,"","1.7","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 17:57:33","41.11154","-71.42960","",85.4,106.5,"","1.5","","1","3","e","g","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 18:00:16","41.09921","-71.33149","",182.3,101.8,"","1.5","","1","2","e","e","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 18:09:07","40.84946","-71.33263","",179.9,104.4,"","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 18:28:12","40.30584","-71.31251","",97.3,106.2,"","2","","1","3","e","g","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 18:30:54","40.31952","-71.22019","",22.1,103.8,"","2.1","","1","1","e","e","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 18:40:26","40.59653","-71.21739","",0.3,105.2,"","1.8","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 18:52:14","40.94860","-71.21745","",359.6,108.5,"","1.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 18:53:29","40.98597","-71.21728","",0.7,105.4,"","","","","","","","","2","eg","6","","","ao","L","78","9","","","","","","","orig gs = 4","","",""
"2021-02-26 18:53:32","40.98742","-71.21728","",359,104,"","","","","","","","break","","","","","","","","","","","","","","","","","","",""
"2021-02-26 18:54:54","40.98782","-71.22989","",194.2,87.7,"","","","","","","","","4","eg","6","","","ah","C","","","90","","","","","","ap s2","","",""
"2021-02-26 18:57:15","40.98670","-71.22570","",70.4,100.4,"","","","","","","","","5","","","","","ah","C","","","58","","","","","","","","",""
"2021-02-26 19:06:23","40.99072","-71.22713","",334.2,104.3,"","","","","","","","","7","eg","6","","","ah","C","","","90","","","","","","fin est thru 7741","","",""
"2021-02-26 19:09:29","40.98958","-71.21710","",3.8,113,"35","1.9","1","1","1","e","e","res rwmr fi","","","","","","","","","","","","","","","","","","",""
"2021-02-26 19:11:58","41.06624","-71.21754","",4.8,111.7,"","2.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 19:13:51","41.11287","-71.18773","",82.2,108.1,"","2.4","","1","2","e","e","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 19:17:06","41.07495","-71.09843","",180.2,98.5,"","2.3","","1","3","e","e","","","","","","","","","","","","","","","","","","","",""
"2021-02-26 19:21:05","40.96320","-71.09940","",180.1,103.5,"","","","","","","","break add 4 sec","","","","","","","","","","","","","","","","","","",""
"2021-02-26 19:21:07","40.96225","-71.09940","",179.5,103.2,"","","","","","","","","8","eg","3","","","ao","L","85","9","","","","","","","orig gs = 1 & psi from track","","",""
"2021-02-26 19:30:57","40.95884","-71.06372","",141.1,95.7,"","","","","","","","","9","eg","3","","","ah","C","","","90","","","","","","ap s7 low energy ph ","","",""
