"DATETIME_UTC","LATITUDE","LONGITUDE","ALTITUDE","HEADING","SPEED","VISIBILTY_NM","BEAUFORT","CLOUD_CODE","GLARE_L","GLARE_R","QUALITY_L","QUALITY_R","EFFORT_COMMENTS","SIGHTING_NUMBER","SPCODE","GROUP_SIZE","CALVES","ACTUAL_HEADING","OBSERVER","OBS_POSITION","ANGLE","CUE","B1_FINAL_CODE","B2_FINAL_CODE","B3_FINAL_CODE","B4_FINAL_CODE","B5_FINAL_CODE","PHOTOS","SIGHTING_COMMENTS","EDIT1","EDIT2","EDIT3"
"2021-04-07 13:25:59","41.43874","-70.74252","",226.9,114.1,"35","1","1","1","1","e","e","on watch beg rwmr tr","","","","","","","","","","","","","","","","","tvc","",""
"2021-04-07 13:30:42","41.33434","-70.87361","",187,113.5,"","0.7","","3","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-07 13:34:36","41.21352","-70.90526","",192.5,113.2,"","","","","","","","","1","eg","2","","","alo","L","72","1","","","","","","","","","",""
"2021-04-07 13:34:38","41.2125","-70.90556","",192.5,113.1,"","","","","","","","break s1","","","","","","","","","","","","","","","","","","",""
"2021-04-07 13:35:26","41.21054","-70.89487","",324.7,93.5,"","","","","","","","","2","eg","3","1","","tc","C","","","54","","","","","","ap s1 3942 high skim second adult within 6 body lengths","","",""
"2021-04-07 13:38:40","41.20239","-70.90069","",98.4,101.3,"","","","","","","","","4","ba","1","","","tc","R","","","","","","","","","","","",""
"2021-04-07 13:43:49","41.20713","-70.90327","",203.2,112.1,"","","","","","","","","5","eg","3","1","","tc","C","","","54","","","","","","fin est thru 9204","","",""
"2021-04-07 13:45:07","41.16961","-70.91738","",193.2,112.2,"","","","","","","","res rwmr tr","","","","","","","","","","","","","","","","","","",""
"2021-04-07 13:45:17","41.16454","-70.91893","",192.7,113.5,"","","","","","","","","6","ba","1","","90","alo","L","35","1","","","","","","","","","",""
"2021-04-07 13:54:23","40.88826","-71.00851","",203.7,108.8,"","1.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-07 14:02:01","40.66513","-71.06638","",180,108.8,"","","","","","","","end rwmr tr","","","","","","","","","","","","","","","","","","",""
"2021-04-07 14:02:04","40.66312","-71.06638","",180,108.8,"","","","","","","","beg rwmr fi","","","","","","","","","","","","","","","","","","",""
"2021-04-07 14:10:49","40.39814","-71.06662","",179.9,109.2,"","","","2","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-07 14:19:28","40.13616","-71.06646","",179.7,108.1,"","","","","","","","","7","bp","1","","360","alo","L","75","1","","","","","","","","","",""
"2021-04-07 14:22:03","40.06195","-71.07478","",253.5,98.8,"5","1","35","2","1","1","e","e","","","","","","","","","","","","","","","","","","",""
"2021-04-07 14:25:13","40.07162","-71.18511","",357.4,102.4,"","1.8","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-07 14:32:38","40.28353","-71.18324","",359.9,101.3,"","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-07 14:36:38","40.3958","-71.18322","",0.2,101.7,"","","","","","","","","8","eg","1","","40","pd","R","82","1","","","","","","","","","",""
"2021-04-07 14:36:42","40.39768","-71.18321","",0.5,101.9,"","","","","","","","break s8","","","","","","","","","","","","","","","","","","",""
"2021-04-07 14:37:26","40.39606","-71.16685","",134,105.9,"","","","","","","","","9","eg","1","","","tc","C","","","","","","","","","ap s8 good for de","","",""
"2021-04-07 14:40:24","40.38427","-71.14897","",356.2,88.7,"","","","","","","","off watch sono alt 800","","","","","","","","","","","","","","","","","","",""
"2021-04-07 14:40:26","40.3851","-71.14906","800",355.1,91.5,"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021-04-07 14:44:33","40.39688","-71.15974","",342.5,91,"","","","","","","","","11","SONO","","","","tc","C","","","","","","","","","deploy","","",""
"2021-04-07 14:44:44","40.40144","-71.16263","",319.1,94.2,"","","","","","","","","12","SONO","","","","tc","C","","","","","","","","","splash","","",""
"2021-04-07 14:45:21","40.39407","-71.15928","",56.4,91,"","","","","","","","","14","SONO","","","","tc","C","","","","","","","","","signal","","",""
"2021-04-07 14:45:32","40.39774","-71.15743","",342,91.1,"","","","","","","","","15","SONO","","","","tc","C","","","","","","","","","ap sono","","",""
"2021-04-07 14:46:25","40.38138","-71.16396","1000",166,110.7,"","","","","","","","on watch res break alt 1000","","","","","","","","","","","","","","","","","","",""
"2021-04-07 14:50:20","40.37306","-71.13541","",120.3,99.8,"","","","","","","","","16","eg","1","","","tc","C","","","","","","","","","ap new sym pen","","",""
