"ID","NAME","EXPDATE","CANCELLED","TRIGGERDATE","INITOREXT","TRIGGERORG","STARTDATE","TRIGGERGROUPSIZE","COMMENTS","TRIGGERTYPE"
3641,"26nm SW Martha's Vineyard MA",2023-06-26 00:00:01,"",2023-06-10 16:07:00,"i","82",2023-06-12 15:33:00,3,"HJF entered by hand during Shiny transition - potential for tiny calc. discrepencies","v"
3640,"85nm SE Nantucket MA",2023-06-18 00:00:01,"",2023-06-02 13:00:00,"i","1",2023-06-05 13:27:51,4,"","v"
3639,"93nm SE Nantucket MA",2023-05-27 00:00:01,"",2023-05-11 08:35:59,"i","1",2023-05-12 07:05:05,58,"","v"
3638,"49nm S Martha's Vineyard MA",2023-05-11 00:00:01,"",2023-04-25 15:24:36,"e","1",2023-04-26 09:17:52,22,"","v"
3637,"78nm S Martha's Vineyard MA",2023-05-11 00:00:01,"",2023-04-25 13:37:28,"i","1",2023-04-26 09:17:52,8,"","v"
3636,"9nm NE Boston MA",2023-04-30 00:00:01,"",2023-04-14 13:02:24,"e","0",2023-04-15 09:36:49,5,"","v"
3635,"49nm S Martha's Vineyard MA",2023-04-30 00:00:01,"extended",2023-04-14 15:31:50,"i","1",2023-04-15 09:36:49,15,"","v"
3634,"21nm E Ocean City MD",2023-04-23 00:00:01,"",2023-04-07 10:40:18,"i","82",2023-04-07 13:33:37,3,"","a"
3633,"25nm E Virginia Beach VA",2023-04-21 00:00:01,"",2023-04-05 21:46:51,"i","82",2023-04-06 11:19:48,3,"","a"
3632,"9nm NE Boston MA",2023-04-21 00:00:01,"extended",2023-04-05 14:00:00,"i","0",2023-04-06 11:16:37,3,"","v"
3631,"35nm S Nantucket MA",2023-04-16 00:00:01,"",2023-03-31 10:34:42,"e","1",2023-03-31 18:20:02,37,"","v"
3630,"14nm S Martha's Vineyard MA",2023-04-16 00:00:01,"",2023-03-31 09:45:14,"e","1",2023-03-31 18:20:02,41,"","v"
3629,"52nm SE Nantucket MA",2023-04-07 00:00:01,"",2023-03-22 12:27:49,"e","1",2023-03-23 09:06:24,11,"","v"
3628,"35nm S Nantucket MA",2023-04-06 00:00:01,"extended",2023-03-21 15:49:02,"e","0",2023-03-21 20:49:49,21,"","v"
3627,"14nm S Martha's Vineyard MA",2023-04-06 00:00:01,"extended",2023-03-21 14:23:14,"e","0",2023-03-21 20:49:49,35,"","v"
3626,"34nm SE New York NY",2023-04-01 00:00:01,"",2023-03-16 19:24:10,"e","82",2023-03-17 11:00:51,15,"","a"
3624,"24nm SE Atlantic City NJ",2023-03-29 00:00:01,"",2023-03-13 19:16:42,"i","82",2023-03-14 11:14:27,3,"","a"
3622,"52nm SE Nantucket MA",2023-03-26 00:00:01,"extended",2023-03-10 09:59:12,"e","1",2023-03-12 14:49:22,35,"","v"
3621,"35nm S Nantucket MA",2023-03-26 00:00:01,"extended",2023-03-10 19:16:59,"e","0",2023-03-11 07:55:03,10,"","v"
3620,"14nm S Martha's Vineyard MA",2023-03-26 00:00:01,"extended",2023-03-10 16:38:23,"i","0",2023-03-11 07:55:03,14,"","v"
3619,"21nm E Ocean City MD",2023-03-23 00:00:01,"",2023-03-07 02:25:18,"e","82",2023-03-07 12:04:42,12,"","a"
3618,"34nm SE New York NY",2023-03-20 00:00:01,"extended",2023-03-04 16:21:40,"e","82",2023-03-05 06:28:01,3,"","a"
3617,"35nm S Nantucket MA",2023-03-17 00:00:01,"extended",2023-03-01 11:34:01,"e","1",2023-03-01 22:22:56,26,"","v"
3616,"52nm SE Nantucket MA",2023-03-17 00:00:01,"extended",2023-03-01 13:45:42,"i","1",2023-03-01 22:22:56,4,"","v"
3615,"21nm E Ocean City MD",2023-03-14 00:00:01,"extended",2023-02-26 11:40:18,"e","82",2023-02-26 20:15:18,3,"","a"
3614,"69nm E New York NY",2023-03-10 00:00:01,"",2023-02-22 19:31:42,"i","82",2023-02-23 11:14:09,3,"","a"
3613,"34nm SE New York NY",2023-03-11 00:00:01,"extended",2023-02-23 00:36:40,"i","82",2023-02-23 09:16:53,3,"","a"
3611,"29nm NE Ocean City MD",2023-03-10 00:00:01,"",2023-02-22 11:17:39,"i","0",2023-02-23 07:17:29,3,"","v"
3610,"25nm E Virginia Beach VA",2023-03-07 00:00:01,"",2023-02-19 02:31:51,"e","82",2023-02-19 15:54:44,9,"","a"
3609,"35nm S Nantucket MA",2023-03-07 00:00:01,"extended",2023-02-19 08:51:47,"e","1",2023-02-19 15:35:01,29,"","v"
3608,"21nm E Ocean City MD",2023-03-04 00:00:01,"extended",2023-02-16 02:40:18,"e","82",2023-02-16 17:39:46,6,"","a"
3607,"21nm E Ocean City MD",2023-03-04 00:00:01,"extended",2023-02-16 02:40:18,"e","82",2023-02-16 17:38:39,6,"","a"
3606,"25nm E Virginia Beach VA",2023-02-24 00:00:01,"extended",2023-02-08 21:46:51,"i","82",2023-02-10 10:04:49,3,"","a"
3605,"35nm S Nantucket MA",2023-02-25 00:00:01,"extended",2023-02-09 11:41:43,"i","1",2023-02-09 16:26:01,33,"","v"
3604,"21nm E Ocean City MD",2023-02-23 00:00:01,"extended",2023-02-07 06:40:18,"e","82",2023-02-07 09:56:39,3,"","a"
3603,"21nm E Ocean City MD",2023-02-13 00:00:01,"extended",2023-01-28 04:10:18,"e","82",2023-01-28 16:22:56,6,"","a"
3602,"46nm SE New York NY",2023-02-10 00:00:01,"",2023-01-25 14:21:40,"e","82",2023-01-27 11:26:46,3,"","a"
3601,"34nm E Virginia Beach VA",2023-02-09 00:00:01,"",2023-01-24 13:18:00,"i","0",2023-01-25 07:43:34,6,"","v"
3600,"Palm Coast DMA",2023-02-02 00:00:01,"",2023-01-17 13:48:00,"i","0",2023-01-20 15:26:00,3,"","v"
3597,"46nm SE New York NY",2023-02-01 00:00:01,"extended",2023-01-16 01:24:10,"e","82",2023-01-17 12:50:20,6,"","a"
3596,"20nm SE Atlantic City NJ",2023-02-01 00:00:01,"",2023-01-16 00:16:01,"e","82",2023-01-17 12:50:20,6,"","a"
3595,"21nm E Ocean City MD",2023-01-31 00:00:01,"extended",2023-01-15 01:10:18,"i","82",2023-01-15 09:57:18,3,"","a"
3594,"42nm SE Nantucket MA",2023-01-27 00:00:01,"",2023-01-11 11:46:58,"i","1",2023-01-12 08:48:11,6,"","v"
3593,"33nm S Nantucket MA",2023-01-24 00:00:01,"",2023-01-08 14:21:46,"e","1",2023-01-08 20:11:16,6,"","v"
3592,"15nm SW Nantucket MA",2023-01-24 00:00:01,"",2023-01-08 12:37:22,"i","1",2023-01-08 20:11:16,6,"","v"
3591,"33nm S Nantucket MA",2023-01-24 00:00:01,"",2023-01-08 14:21:46,"e","1",2023-01-08 20:01:52,6,"","v"
3590,"15nm SW Nantucket MA",2023-01-24 00:00:01,"",2023-01-08 12:37:22,"i","1",2023-01-08 20:01:52,6,"","v"
3589,"46nm SE New York NY",2023-01-22 00:00:01,"extended",2023-01-06 06:21:40,"e","82",2023-01-06 17:20:50,3,"","a"
3588,"20nm SE Atlantic City NJ",2023-01-22 00:00:01,"extended",2023-01-06 07:01:01,"e","82",2023-01-06 17:20:50,9,"","a"
3587,"20nm SW Nantucket MA",2023-01-17 00:00:01,"",2023-01-01 12:12:05,"i","82",2023-01-03 10:54:31,3,"","a"
3586,"21nm E Ocean City MD",2023-01-14 00:00:01,"",2022-12-29 12:40:18,"e","82",2022-12-30 09:20:28,15,"","a"
3585,"33nm S Nantucket MA",2023-01-14 00:00:01,"extended",2022-12-29 14:35:00,"i","0",2022-12-29 15:27:10,3,"","v"
3583,"46nm SE New York NY",2023-01-13 00:00:01,"extended",2022-12-28 10:24:10,"e","82",2022-12-28 14:04:04,3,"","a"
3582,"20nm SE Atlantic City NJ",2023-01-09 00:00:01,"extended",2022-12-24 23:01:01,"i","82",2022-12-26 10:59:32,3,"","a"
3581,"21nm E Ocean City MD",2023-01-05 00:00:01,"extended",2022-12-20 19:40:18,"e","82",2022-12-21 17:22:28,18,"","a"
3580,"Cape Cod Bay",2023-01-06 00:00:01,"",2022-12-21 17:38:11,"i","0",2022-12-21 17:09:49,6,"","v"
3579,"46nm SE New York NY",2023-01-01 00:00:01,"extended",2022-12-16 21:54:10,"i","82",2022-12-17 21:06:26,3,"","a"
3578,"24nm S Martha's Vineyard MA",2022-12-30 00:00:01,"",2022-12-14 11:12:05,"i","82",2022-12-15 17:11:00,3,"","a"
3577,"24nm SE Portsmouth NH",2022-12-29 00:00:01,"",2022-12-13 13:19:20,"i","1",2022-12-14 09:48:46,5,"","v"
3576,"21nm E Ocean City MD",2022-12-26 00:00:01,"extended",2022-12-10 22:55:18,"e","82",2022-12-11 11:41:12,3,"","a"
3575,"20nm SE Atlantic City NJ",2022-12-24 00:00:01,"",2022-12-08 18:16:01,"e","82",2022-12-09 09:08:56,3,"","a"
3574,"66nm E Portland ME",2022-12-17 00:00:01,"",2022-12-01 16:49:51,"i","82",2022-12-02 07:53:02,3,"","a"
3573,"21nm E Ocean City MD",2022-12-14 00:00:01,"extended",2022-11-28 18:10:18,"e","82",2022-11-29 11:33:43,3,"","a"
3572,"20nm SE Atlantic City NJ",2022-12-13 00:00:01,"extended",2022-11-27 15:46:01,"i","82",2022-11-28 09:48:08,3,"","a"
3571,"22nm S Nantucket MA",2022-12-08 00:00:01,"",2022-11-22 13:55:26,"i","1",2022-11-22 19:23:46,3,"","v"
3570,"16nm SW Nantucket MA",2022-12-07 00:00:01,"",2022-11-21 11:27:05,"i","82",2022-11-22 12:11:31,3,"","a"
3569,"28nm E Portsmouth NH",2022-12-05 00:00:01,"",2022-11-19 13:05:58,"i","1",2022-11-21 10:04:53,6,"revision of DMA 3568 - 2 additional whales in images","v"
3568,"28nm E Portsmouth NH",2022-12-05 00:00:01,"cancelled",2022-11-19 13:05:58,"i","1",2022-11-19 17:20:59,4,"cancelled and revised. 2 more whales in images","v"
3567,"34nm SE New York NY",2022-12-03 00:00:01,"",2022-11-17 10:21:40,"i","82",2022-11-17 12:35:33,3,"","a"
3566,"21nm E Ocean City MD",2022-12-02 00:00:01,"extended",2022-11-16 18:25:18,"i","82",2022-11-17 11:54:38,3,"","a"
3565,"20nm SE Atlantic City NJ",2022-11-13 00:00:01,"",2022-10-28 13:31:01,"i","82",2022-10-31 09:26:25,3,"","a"
3564,"19nm SE Nantucket MA",2022-10-26 00:00:01,"",2022-10-10 10:24:06,"i","1",2022-10-10 16:02:53,10,"","v"
3563,"24nm SE Nantucket MA",2022-10-07 00:00:01,"",2022-09-21 21:00:45,"e","0",2022-09-22 07:04:54,4,"","v"
3562,"24nm SE Nantucket MA",2022-09-26 00:00:01,"extended",2022-09-10 19:39:47,"e","0",2022-09-11 14:15:03,4,"","v"
3561,"24nm SE Nantucket MA",2022-09-15 00:00:01,"extended",2022-08-30 14:00:00,"i","0",2022-08-30 16:48:09,9,"","v"
3560,"20nm E Boston MA",2022-05-22 00:00:01,"",2022-05-06 00:22:44,"i","82",2022-05-06 21:55:19,3,"","a"
3559,"13nm E Boston MA",2022-05-22 00:00:01,"",2022-05-06 00:00:00,"e","34",2022-05-06 21:25:37,20,"","v"
3558,"23nm E Boston MA",2022-05-22 00:00:01,"",2022-05-06 00:00:00,"e","34",2022-05-06 21:25:37,20,"","v"
3557,"23nm S Portsmouth NH",2022-05-22 00:00:01,"",2022-05-06 00:00:00,"e","34",2022-05-06 21:25:37,14,"","v"
3556,"13nm E Boston MA",2022-05-13 00:00:01,"extended",2022-04-27 13:16:00,"e","4",2022-04-27 15:21:50,7,"","v"
3555,"23nm E Boston MA",2022-05-13 00:00:01,"extended",2022-04-27 13:16:00,"e","4",2022-04-27 15:21:50,7,"","v"
3554,"23nm S Portsmouth NH",2022-05-13 00:00:01,"extended",2022-04-27 13:16:00,"e","4",2022-04-27 15:21:50,7,"","v"
3553,"43nm SE Nantucket MA",2022-05-09 00:00:01,"",2022-04-23 13:25:42,"i","1",2022-04-23 18:03:53,8,"","v"
3552,"13nm E Boston MA",2022-05-04 00:00:01,"extended",2022-04-18 10:38:00,"i","5",2022-04-20 09:33:05,7,"","v"
3551,"23nm E Boston MA",2022-05-04 00:00:01,"extended",2022-04-18 10:51:44,"i","5",2022-04-20 09:33:05,4,"","v"
3550,"23nm S Portsmouth NH",2022-04-28 00:00:01,"extended",2022-04-12 15:30:00,"i","0",2022-04-12 17:21:40,3,"","v"
3549,"12nm SW Nantucket MA",2022-04-21 00:00:01,"",2022-04-05 16:47:21,"e","1",2022-04-05 20:56:24,4,"","v"
3548,"21nm E Boston MA",2022-04-20 00:00:01,"",2022-04-04 04:07:44,"e","82",2022-04-05 06:33:25,6,"","a"
3547,"13nm E Chatham MA",2022-04-14 00:00:01,"",2022-03-29 20:19:13,"i","82",2022-03-30 07:00:05,3,"","a"
3546,"46nm SE New York NY",2022-04-13 00:00:01,"",2022-03-28 18:09:59,"e","82",2022-03-29 15:02:59,6,"","a"
3545,"21nm E Boston MA",2022-04-11 00:00:01,"extended",2022-03-26 17:07:44,"e","82",2022-03-27 14:26:31,3,"","a"
3543,"20nm SE Atlantic City NJ",2022-04-09 00:00:01,"",2022-03-24 22:16:01,"i","82",2022-03-26 18:50:34,3,"","a"
3542,"12nm SW Nantucket MA",2022-04-11 00:00:01,"extended",2022-03-26 11:51:22,"i","1",2022-03-26 18:16:54,4,"","v"
3541,"11nm SW Martha's Vineyard MA",2022-04-08 00:00:01,"",2022-03-23 11:07:56,"i","4",2022-03-25 12:06:09,4,"","v"
3539,"18nm W Martha's Vineyard MA",2022-04-09 00:00:01,"",2022-03-24 01:02:58,"e","82",2022-03-24 14:01:35,3,"","a"
3538,"46nm SE New York NY",2022-04-03 00:00:01,"extended",2022-03-18 19:24:59,"e","82",2022-03-20 07:54:13,12,"","a"
3537,"22nm E Boston MA",2022-04-03 00:00:01,"",2022-03-18 13:08:08,"e","1",2022-03-18 19:28:57,3,"","v"
3536,"21nm E Ocean City MD",2022-04-02 00:00:01,"",2022-03-17 21:19:58,"i","82",2022-03-18 11:09:25,3,"","a"
3535,"46nm E Virginia Beach VA",2022-04-01 00:00:01,"",2022-03-16 00:00:00,"i","0",2022-03-17 08:30:01,3,"","v"
3533,"21nm E Boston MA",2022-03-30 00:00:01,"extended",2022-03-14 11:13:28,"e","82",2022-03-15 15:50:17,12,"","a"
3532,"46nm SE New York NY",2022-03-25 00:00:01,"extended",2022-03-09 17:54:59,"i","82",2022-03-11 10:46:54,3,"","a"
3531,"18nm W Martha's Vineyard MA",2022-03-26 00:00:01,"extended",2022-03-10 00:02:58,"e","82",2022-03-11 10:22:43,33,"","a"
3530,"21nm S Martha's Vineyard MA",2022-03-20 00:00:01,"",2022-03-04 11:46:44,"i","1",2022-03-07 16:32:47,13,"Sightings on March 16 triggered extension but further inspection determined Shiny SMA shapefile was not current and all sightings fell within the current SMA boundaries.","v"
3529,"22nm E Boston MA",2022-03-23 00:00:01,"extended",2022-03-07 11:12:42,"i","1",2022-03-07 16:21:10,3,"","v"
3528,"20nm SE Atlantic City NJ",2022-03-21 00:00:01,"",2022-03-05 17:46:01,"e","82",2022-03-06 09:17:14,9,"","a"
3527,"21nm E Boston MA",2022-03-21 00:00:01,"extended",2022-03-05 18:13:28,"e","82",2022-03-06 09:17:14,3,"","a"
3526,"25nm S Martha's Vineyard MA",2022-03-19 00:00:01,"",2022-03-03 01:02:58,"i","82",2022-03-04 13:44:22,3,"","a"
3525,"47nm SE Atlantic City NJ",2022-03-17 00:00:01,"",2022-03-01 00:39:36,"i","82",2022-03-01 20:29:05,3,"","a"
3524,"21nm S Nantucket MA",2022-03-17 00:00:01,"",2022-03-01 14:46:58,"i","0",2022-03-01 20:15:04,6,"","v"
3523,"18nm W Martha's Vineyard MA",2022-03-15 00:00:01,"extended",2022-02-27 00:02:58,"e","82",2022-02-28 10:45:24,42,"","a"
3522,"21nm E Ocean City MD",2022-03-12 00:00:01,"",2022-02-24 19:19:58,"e","82",2022-02-25 10:03:01,18,"","a"
3521,"20nm SE Atlantic City NJ",2022-03-09 00:00:01,"extended",2022-02-21 15:24:36,"e","82",2022-02-22 20:24:40,3,"","a"
3520,"21nm E Boston MA",2022-03-10 00:00:01,"extended",2022-02-22 04:28:28,"i","82",2022-02-22 20:12:59,3,"","a"
3519,"46nm SE New York NY",2022-03-06 00:00:01,"",2022-02-18 18:39:59,"e","82",2022-02-19 08:48:39,21,"","a"
3517,"18nm W Martha's Vineyard MA",2022-03-06 00:00:01,"extended",2022-02-18 16:17:58,"e","82",2022-02-19 08:34:17,3,"","a"
3516,"20nm SE Atlantic City NJ",2022-02-28 00:00:01,"extended",2022-02-12 15:01:01,"e","82",2022-02-13 09:38:18,12,"","a"
3515,"21nm E Ocean City MD",2022-02-25 00:00:01,"extended",2022-02-09 09:04:58,"i","82",2022-02-09 21:32:31,3,"","a"
3514,"46nm SE New York NY",2022-02-22 00:00:01,"extended",2022-02-06 21:24:59,"i","82",2022-02-07 22:03:33,3,"","a"
3513,"18nm W Martha's Vineyard MA",2022-02-19 00:00:01,"extended",2022-02-03 22:16:17,"i","82",2022-02-04 13:20:33,3,"","a"
3512,"18nm W Martha's Vineyard MA",2022-02-19 00:00:01,"extended",2022-02-03 22:16:17,"i","82",2022-02-04 13:11:48,3,"","a"
3511,"20nm SE Atlantic City NJ",2022-02-17 00:00:01,"extended",2022-02-01 18:01:01,"e","82",2022-02-02 09:54:30,21,"","a"
3510,"31nm S Nantucket MA",2022-02-09 00:00:01,"",2022-01-24 05:00:00,"e","0",2022-01-27 10:43:55,3,"","v"
3508,"38nm SE Nantucket MA",2022-02-09 00:00:01,"",2022-01-24 18:27:45,"i","0",2022-01-24 19:06:55,14,"","v"
3507,"20nm SE Atlantic City NJ",2022-02-05 00:00:01,"extended",2022-01-20 13:09:04,"e","82",2022-01-20 20:37:04,6,"","a"
3506,"34nm SE New York NY",2022-02-03 00:00:01,"",2022-01-18 19:39:59,"e","82",2022-01-19 09:10:46,15,"","a"
3505,"SEDMA Ocracoke",2022-01-29 00:00:01,"",2022-01-13 14:45:00,"i","45",2022-01-13 14:45:00,3,"Whale Alert: NCWS021","v"
3504,"31nm S Nantucket MA",2022-01-29 00:00:01,"extended",2022-01-13 11:02:00,"i","51",2022-01-14 11:02:25,19,"","v"
3503,"21nm E Ocean City MD",2022-01-25 00:00:01,"",2022-01-09 17:04:58,"e","82",2022-01-10 12:25:41,12,"","a"
